Designator,Mid X,Mid Y,Rotation,Layer
D_5,139.6912,-169.0443,90.0,bottom
D_50,338.9099,-207.109,90.0,bottom
D_51,343.6721,-226.1578,90.0,bottom
D_52,357.9587,-169.0114,90.0,bottom
D_53,372.2453,-188.0602,90.0,bottom
D_54,357.9587,-207.109,90.0,bottom
D_55,362.7209,-226.1578,90.0,bottom
D_56,360.3398,-245.2066,90.0,bottom
D_57,374.6264,-138.0571,90.0,bottom
D_58,377.0075,-169.0114,90.0,bottom
D_59,391.2941,-188.0602,90.0,bottom
D_6,158.74,-169.0443,90.0,bottom
D_60,377.0075,-207.109,90.0,bottom
D_61,381.7697,-226.1578,90.0,bottom
D_62,384.1508,-245.2066,90.0,bottom
D_63,393.6752,-138.0571,90.0,bottom
D_64,396.0563,-169.0114,90.0,bottom
D_65,410.3429,-188.0602,90.0,bottom
D_66,396.0563,-207.109,90.0,bottom
D_67,407.9618,-245.2066,90.0,bottom
D_68,412.724,-138.0571,90.0,bottom
D_69,424.6295,-169.0114,90.0,bottom
D_7,177.7888,-169.0443,90.0,bottom
D_70,415.1051,-207.109,90.0,bottom
D_71,417.4862,-226.1578,90.0,bottom
D_72,434.1539,-138.0571,90.0,bottom
D_73,431.7728,-188.0602,90.0,bottom
D_74,431.7728,-245.2066,90.0,bottom
D_75,153.9778,-137.9144,90.0,bottom
D_8,196.8376,-169.0443,90.0,bottom
D_9,215.8864,-168.9817,90.0,bottom
J1,241.01,-125.3524,0.0,top
J2,275.16065,-125.2327,0.0,top
K_0,112.706,-137.2583,0.0,top
K_1,169.856,-137.2583,0.0,top
K_10,227.006,-168.265,0.0,top
K_11,117.4685,-187.315,0.0,top
K_12,141.281,-187.315,0.0,top
K_13,160.331,-187.315,0.0,top
K_14,179.381,-187.315,0.0,top
K_15,198.431,-187.315,0.0,top
K_16,217.481,-187.315,0.0,top
K_17,119.84975,-206.365,0.0,top
K_18,146.0435,-206.365,0.0,top
K_19,165.0935,-206.365,0.0,top
K_2,188.906,-137.2583,0.0,top
K_20,184.1435,-206.365,0.0,top
K_21,203.1935,-206.365,0.0,top
K_22,222.2435,-206.365,0.0,top
K_23,115.53075,-225.8364,0.0,top
K_24,136.5185,-225.415,0.0,top
K_25,155.5685,-225.415,0.0,top
K_26,174.6185,-225.415,0.0,top
K_27,193.6685,-225.415,0.0,top
K_28,212.7185,-225.415,0.0,top
K_29,231.7685,-225.415,0.0,top
K_3,207.956,-137.2583,0.0,top
K_30,115.53075,-244.8852,0.0,top
K_31,139.34175,-244.884,0.0,top
K_32,163.15275,-244.8852,0.0,top
K_33,188.906,-244.465,0.0,top
K_34,222.08865,-244.4614,0.0,top
K_35,288.76925,-137.2628,0.0,top
K_36,288.13525,-187.2671,0.0,top
K_37,307.81745,-137.2622,0.0,top
K_38,292.89745,-168.2183,0.0,top
K_39,307.18405,-187.2671,0.0,top
K_4,112.706,-168.265,0.0,top
K_40,292.89745,-206.3159,0.0,top
K_41,297.65965,-225.3647,0.0,top
K_42,326.86685,-137.2628,0.0,top
K_43,311.94625,-168.2183,0.0,top
K_44,326.23285,-187.2671,0.0,top
K_45,311.94625,-206.3159,0.0,top
K_46,316.70845,-225.3647,0.0,top
K_47,314.3257,-244.4141,0.0,top
K_48,330.99505,-168.2183,0.0,top
K_49,345.28165,-187.2671,0.0,top
K_5,131.756,-168.265,0.0,top
K_50,330.99505,-206.3159,0.0,top
K_51,335.75725,-225.3647,0.0,top
K_52,350.04385,-168.2183,0.0,top
K_53,364.33045,-187.2671,0.0,top
K_54,350.04385,-206.3159,0.0,top
K_55,354.80605,-225.3647,0.0,top
K_56,352.84705,-244.8852,0.0,top
K_57,366.71095,-137.2628,0.0,top
K_58,369.09265,-168.2183,0.0,top
K_59,383.37925,-187.2671,0.0,top
K_6,150.806,-168.265,0.0,top
K_60,369.09265,-206.3159,0.0,top
K_61,373.85485,-225.3647,0.0,top
K_62,376.65805,-244.8852,0.0,top
K_63,385.75975,-137.2628,0.0,top
K_64,388.14145,-168.2183,0.0,top
K_65,402.42745,-187.2677,0.0,top
K_66,388.14145,-206.3159,0.0,top
K_67,400.46905,-244.8852,0.0,top
K_68,404.80915,-137.2634,0.0,top
K_69,416.71405,-168.2189,0.0,top
K_7,169.856,-168.265,0.0,top
K_70,407.19085,-206.3165,0.0,top
K_71,409.57135,-225.3647,0.0,top
K_72,426.23905,-137.264,0.0,top
K_73,424.28005,-187.7376,0.0,top
K_74,424.28005,-244.8852,0.0,top
K_8,188.906,-168.265,0.0,top
K_9,207.956,-168.265,0.0,top
LED1,104.0436,-178.6433,0.0,bottom
LED10,413.1,-215.4,0.0,bottom
LED11,359.63655,-177.011,0.0,bottom
LED12,421.1,-179.6,0.0,bottom
LED2,105.5621,-215.8846,0.0,bottom
LED3,160.3274,-176.9933,0.0,bottom
LED4,165.0207,-217.5346,0.0,bottom
LED5,218.1,-177.4,0.0,bottom
LED6,222.236,-217.472,0.0,bottom
LED7,300.95,-215.95,0.0,bottom
LED8,358.70505,-215.1086,0.0,bottom
LED9,299.7,-177.7,0.0,bottom
SW1,240.4851,-146.039,270.0,top
SW2,274.64175,-145.9941,270.0,top
SW3,142.866,-137.3083,0.0,top
U1,346.69915,-143.6579,0.0,top
U3,227.4635,-143.6579,0.0,top
