Designator,Mid X,Mid Y,Rotation,Layer
_29,328.8,-198.9,0.0,top
_28,204.7746,-234.9352,0.0,top
_27,429.3917,-152.3904,0.0,top
_26,208.7431,-146.8345,0.0,top
_25,428.598,-234.9352,0.0,top
_24,93.6566,-196.8376,0.0,top
_23,238.11,-234.9352,0.0,top
_22,154.2,-237.4,0.0,top
_21,325.417,-152.3904,0.0,top
_20,240.4911,-155.5652,0.0,top
_19,386.5319,-152.3904,0.0,top
_18,283.3509,-234.9352,0.0,top
_17,283.3509,-196.8376,0.0,top
_16,283.3509,-152.3904,0.0,top
_15,422.2484,-199.1,0.0,top
_14,381.9,-235.3,0.0,top
_13,337.3,-236.8,0.0,top
_12,158.5,-198.8,0.0,top
_11,160.3274,-146.8345,0.0,top
_10,93.6566,-234.9352,0.0,top
_9,93.6566,-196.8376,0.0,top
_8,204.7746,-234.9352,0.0,top
_7,93.6566,-234.9352,0.0,top
_6,238.11,-234.9352,0.0,top
_5,238.11,-196.8376,0.0,top
_4,154.2,-237.4,0.0,top
_3,373.8327,-196.8376,0.0,top
_2,158.5,-198.8,0.0,top
,93.6566,-146.8345,0.0,top
D_0,120.6424,-138.0394,90.0,bottom
D_1,177.7888,-138.0394,90.0,bottom
D_10,234.9352,-168.9817,90.0,bottom
D_11,125.4046,-188.0931,90.0,bottom
D_12,149.2156,-188.0305,90.0,bottom
D_13,168.2644,-188.0305,90.0,bottom
D_14,187.3132,-188.0931,90.0,bottom
D_15,206.362,-188.0931,90.0,bottom
D_16,225.4108,-188.0931,90.0,bottom
D_17,127.7857,-207.1419,90.0,bottom
D_18,153.9778,-207.1419,90.0,bottom
D_19,173.0266,-207.1419,90.0,bottom
D_2,196.8376,-138.0394,90.0,bottom
D_20,192.0754,-207.1419,90.0,bottom
D_21,211.1242,-207.1419,90.0,bottom
D_22,230.173,-207.1419,90.0,bottom
D_23,123.0235,-226.1907,90.0,bottom
D_24,144.4534,-226.1907,90.0,bottom
D_25,163.5022,-226.1907,90.0,bottom
D_26,182.551,-226.1907,90.0,bottom
D_27,201.5998,-226.1907,90.0,bottom
D_28,220.6486,-226.1907,90.0,bottom
D_29,239.6974,-226.1907,90.0,bottom
D_3,215.8864,-138.0394,90.0,bottom
D_30,123.0235,-245.2395,90.0,bottom
D_31,146.8345,-245.2395,90.0,bottom
D_32,170.6455,-245.2395,90.0,bottom
D_33,196.8376,-245.2395,90.0,bottom
D_34,230.173,-245.2395,90.0,bottom
D_35,296.8438,-138.0571,90.0,bottom
D_36,296.0501,-188.0602,90.0,bottom
D_37,315.8926,-138.0571,90.0,bottom
D_38,300.8123,-169.0114,90.0,bottom
D_39,315.0989,-188.0602,90.0,bottom
D_4,120.6424,-169.0443,90.0,bottom
D_40,300.8123,-206.8561,90.0,bottom
D_41,305.5745,-226.1578,90.0,bottom
D_42,334.9414,-138.0571,90.0,bottom
D_43,319.8611,-169.0114,90.0,bottom
D_44,334.1477,-188.0602,90.0,bottom
D_45,319.8611,-207.109,90.0,bottom
D_46,324.6233,-226.1578,90.0,bottom
D_47,322.2422,-245.2066,90.0,bottom
D_48,338.9099,-169.0114,90.0,bottom
D_49,353.1965,-188.0602,90.0,bottom
