Designator,Mid X,Mid Y,Rotation,Layer
D_35,253.1903,-137.3101,90.0,top
D_36,257.9525,-184.9321,90.0,top
D_37,272.2391,-137.3101,90.0,top
D_38,267.4769,-165.8833,90.0,top
D_39,277.0013,-184.9321,90.0,top
D_40,262.7147,-203.9809,90.0,top
D_41,272.2391,-223.0297,90.0,top
D_42,291.2879,-137.3101,90.0,top
D_43,286.5257,-165.8833,90.0,top
D_44,296.0501,-184.9321,90.0,top
D_45,281.7635,-203.9809,90.0,top
D_46,291.2879,-223.0297,90.0,top
D_47,296.0501,-242.0785,90.0,top
D_48,305.5745,-165.8833,90.0,top
D_49,315.0989,-184.9321,90.0,top
D_50,300.8123,-203.9809,90.0,top
D_51,310.3367,-223.0297,90.0,top
D_52,324.6233,-165.8833,90.0,top
D_53,334.1477,-184.9321,90.0,top
D_54,319.8611,-203.9809,90.0,top
D_55,329.3855,-223.0297,90.0,top
D_56,327.0044,-242.0785,90.0,top
D_57,338.9099,-137.3101,90.0,top
D_58,343.6721,-165.8833,90.0,top
D_59,353.1965,-184.9321,90.0,top
D_60,338.9099,-203.9809,90.0,top
D_61,348.4343,-223.0297,90.0,top
D_62,350.8154,-242.0785,90.0,top
D_63,357.9587,-137.3101,90.0,top
D_64,362.7209,-165.8833,90.0,top
D_65,372.2453,-184.9321,90.0,top
D_66,357.9587,-203.9809,90.0,top
D_67,374.6264,-242.0785,90.0,top
D_68,377.0075,-137.3101,90.0,top
D_69,391.2941,-165.8833,90.0,top
D_70,377.0075,-203.9809,90.0,top
D_71,384.1508,-223.0297,90.0,top
D_72,400.8185,-137.3101,90.0,top
D_73,388.1193,-184.9321,0.0,top
D_74,398.4374,-242.0785,90.0,top
J2,302.9123,-123.9227,0.0,top
K_35,250.0149,-136.517,0.0,top
K_36,254.7771,-184.139,0.0,top
K_37,269.0637,-136.517,0.0,top
K_38,264.3027,-165.0902,0.0,top
K_39,273.84805,-184.1378,0.0,top
K_40,259.5417,-203.1878,0.0,top
K_41,269.0643,-222.2342,0.0,top
K_42,288.1125,-136.517,0.0,top
K_43,283.3497,-165.0938,0.0,top
K_44,292.8747,-184.139,0.0,top
K_45,278.5881,-203.1878,0.0,top
K_46,288.1107,-222.2342,0.0,top
K_47,292.8741,-241.2854,0.0,top
K_48,302.4003,-165.0902,0.0,top
K_49,311.9235,-184.139,0.0,top
K_50,297.6393,-203.1878,0.0,top
K_51,307.1595,-222.2342,0.0,top
K_52,321.4473,-165.0938,0.0,top
K_53,330.99265,-184.1414,0.0,top
K_54,316.6857,-203.1878,0.0,top
K_55,326.2107,-222.2342,0.0,top
K_56,323.83035,-241.2842,0.0,top
K_57,335.7345,-136.517,0.0,top
K_58,340.4979,-165.0902,0.0,top
K_59,350.04325,-184.1378,0.0,top
K_60,335.7369,-203.1878,0.0,top
K_61,345.2601,-222.2366,0.0,top
K_62,347.64135,-241.283,0.0,top
K_63,354.7833,-136.517,0.0,top
K_64,359.5449,-165.0938,0.0,top
K_65,369.09205,-184.1432,0.0,top
K_66,354.7833,-203.1878,0.0,top
K_67,371.45085,-241.2854,0.0,top
K_68,373.8333,-136.517,0.0,top
K_69,388.1199,-165.0902,0.0,top
K_70,373.8348,-203.1866,0.0,top
K_71,380.97765,-222.2366,0.0,top
K_72,397.6431,-136.517,0.0,top
K_73,397.80185,-188.584,0.0,top
K_74,395.26185,-241.2854,0.0,top
LED10,335.804,-231.823,0.0,bottom
LED11,385.6693,-150.0719,0.0,bottom
LED12,399.9559,-222.1734,0.0,bottom
LED7,264.371,-174.6766,0.0,bottom
LED8,269.7891,-239.6974,0.0,bottom
LED9,324.6922,-150.7404,0.0,bottom
SW2,247.7096,-251.6029,0.0,top
U1,252.3966,-227.8421,0.0,bottom
