Designator,Mid X,Mid Y,Rotation,Layer
_24,344.4272,-231.7562,0.0,top
_23,142.866,-231.7562,0.0,top
_22,182.4738,-193.6628,0.0,top
_21,112.6668,-193.6628,0.0,top
_20,182.4738,-231.7562,0.0,top
_19,311.9241,-231.7562,0.0,top
_18,77.8598,-150.8036,0.0,top
_17,147.4738,-150.8036,0.0,top
_16,376.9303,-150.8036,0.0,top
_15,182.4738,-150.8036,0.0,top
_14,342.1233,-150.8036,0.0,top
_13,147.4738,-193.6628,0.0,top
_12,376.9303,-193.6628,0.0,top
_11,112.6668,-150.8036,0.0,top
_10,77.8598,-231.7562,0.0,top
_9,272.3163,-150.8036,0.0,top
_8,307.3163,-150.8036,0.0,top
_7,77.8598,-193.6628,0.0,top
_6,110.3629,-231.7562,0.0,top
_5,272.3163,-231.7562,0.0,top
_4,272.3163,-193.6628,0.0,top
_3,376.9303,-231.7562,0.0,top
_2,307.3163,-193.6628,0.0,top
,342.1233,-193.6628,0.0,top
D_0,88.8944,-137.3101,90.0,top
D_1,146.0408,-137.3101,90.0,top
D_10,203.1872,-165.8833,90.0,top
D_11,93.6566,-184.9321,90.0,top
D_12,117.4676,-184.9321,90.0,top
D_13,136.5164,-184.9321,90.0,top
D_14,155.5652,-184.9321,90.0,top
D_15,174.614,-184.9321,90.0,top
D_16,193.6628,-184.9321,90.0,top
D_17,96.0377,-203.9809,90.0,top
D_18,122.2298,-203.9809,90.0,top
D_19,141.2786,-203.9809,90.0,top
D_2,165.0896,-137.3101,90.0,top
D_20,160.3274,-203.9809,90.0,top
D_21,179.3762,-203.9809,90.0,top
D_22,198.425,-203.9809,90.0,top
D_23,91.2755,-223.0297,90.0,top
D_24,112.7054,-223.0297,90.0,top
D_25,131.7542,-223.0297,90.0,top
D_26,150.803,-223.0297,90.0,top
D_27,169.8518,-223.0297,90.0,top
D_28,188.9006,-223.0297,90.0,top
D_29,207.9494,-223.0297,90.0,top
D_3,184.1384,-137.3101,90.0,top
D_30,91.2755,-242.0785,90.0,top
D_31,115.0865,-242.0785,90.0,top
D_32,138.8975,-242.0785,90.0,top
D_33,167.4707,-242.0785,90.0,top
D_34,193.6628,-242.0785,90.0,top
D_35,253.1903,-137.3101,90.0,top
D_36,257.9525,-184.9321,90.0,top
D_37,272.2391,-137.3101,90.0,top
D_38,267.4769,-165.8833,90.0,top
D_39,277.0013,-184.9321,90.0,top
D_4,88.8944,-165.8833,90.0,top
D_40,262.7147,-203.9809,90.0,top
D_41,272.2391,-223.0297,90.0,top
