Designator,Mid X,Mid Y,Rotation,Layer
D_0,88.8944,-137.3101,90.0,top
D_1,146.0408,-137.3101,90.0,top
D_10,203.1872,-165.8833,90.0,top
D_11,93.6566,-184.9321,90.0,top
D_12,117.4676,-184.9321,90.0,top
D_13,136.5164,-184.9321,90.0,top
D_14,155.5652,-184.9321,90.0,top
D_15,174.614,-184.9321,90.0,top
D_16,193.6628,-184.9321,90.0,top
D_17,96.0377,-203.9809,90.0,top
D_18,122.2298,-203.9809,90.0,top
D_19,141.2786,-203.9809,90.0,top
D_2,165.0896,-137.3101,90.0,top
D_20,160.3274,-203.9809,90.0,top
D_21,179.3762,-203.9809,90.0,top
D_22,198.425,-203.9809,90.0,top
D_23,91.2755,-223.0297,90.0,top
D_24,112.7054,-223.0297,90.0,top
D_25,131.7542,-223.0297,90.0,top
D_26,150.803,-223.0297,90.0,top
D_27,169.8518,-223.0297,90.0,top
D_28,188.9006,-223.0297,90.0,top
D_29,207.9494,-223.0297,90.0,top
D_3,184.1384,-137.3101,90.0,top
D_30,91.2755,-242.0785,90.0,top
D_31,115.0865,-242.0785,90.0,top
D_32,138.8975,-242.0785,90.0,top
D_33,167.4707,-242.0785,90.0,top
D_34,193.6628,-242.0785,90.0,top
D_4,88.8944,-165.8833,90.0,top
D_5,107.9432,-165.8833,90.0,top
D_6,126.992,-165.8833,90.0,top
D_7,146.0408,-165.8833,90.0,top
D_75,128.5794,-137.3101,90.0,top
D_8,165.0896,-165.8833,90.0,top
D_9,184.1384,-165.8833,90.0,top
J1,209.2557,-123.9227,0.0,top
K_0,85.7202,-136.517,0.0,top
K_1,142.8666,-136.517,0.0,top
K_10,200.013,-165.0902,0.0,top
K_11,90.4827,-184.139,0.0,top
K_12,114.2934,-184.139,0.0,top
K_13,133.3422,-184.139,0.0,top
K_14,152.391,-184.139,0.0,top
K_15,171.4398,-184.139,0.0,top
K_16,190.4886,-184.139,0.0,top
K_17,92.86395,-203.1878,0.0,top
K_18,119.0556,-203.1878,0.0,top
K_19,138.1044,-203.1878,0.0,top
K_2,161.9154,-136.517,0.0,top
K_20,157.1532,-203.1878,0.0,top
K_21,176.202,-203.1878,0.0,top
K_22,195.2508,-203.1878,0.0,top
K_23,88.10145,-222.2366,0.0,top
K_24,109.5312,-222.2366,0.0,top
K_25,128.58,-222.2366,0.0,top
K_26,147.6288,-222.2366,0.0,top
K_27,166.6776,-222.2366,0.0,top
K_28,185.7264,-222.2366,0.0,top
K_29,204.7752,-222.2366,0.0,top
K_3,180.963,-136.5056,0.0,top
K_30,88.10145,-241.2812,0.0,top
K_31,111.91245,-241.2854,0.0,top
K_32,135.72345,-241.2854,0.0,top
K_33,164.29695,-241.2854,0.0,top
K_34,190.4886,-241.2854,0.0,top
K_4,85.7202,-165.0902,0.0,top
K_5,104.769,-165.0902,0.0,top
K_6,123.8178,-165.0902,0.0,top
K_7,142.8666,-165.0902,0.0,top
K_8,161.9154,-165.0902,0.0,top
K_9,180.9642,-165.0902,0.0,top
LED1,57.9401,-169.8518,0.0,bottom
LED2,61.9086,-231.7604,0.0,bottom
LED3,137.379,-150.8656,0.0,bottom
LED4,147.6282,-239.6974,0.0,bottom
LED5,203.912,-179.3136,0.0,bottom
LED6,199.9435,-231.823,0.0,bottom
SW1,207.9494,-251.6029,0.0,top
SW3,115.7227,-136.5086,0.0,top
U3,59.0594,-142.1032,0.0,top
